"Feature","Gain"
"Anterior.limb.of.internal.capsule.R",0.166350930734179
"Middle.cerebellar.peduncle",0.114127976417245
"Medial.lemniscus.R",0.0920681638909196
"Pontine.crossing.tract.(a.part.of.MCP)",0.0450700585536802
"Cerebral.peduncle.L",0.0384925580578163
"External.capsule.R",0.03434701928389
"Genu.of.corpus.callosum",0.0327061029258706
"Body.of.corpus.callosum",0.0291029219200727
"Uncinate.fasciculus.L",0.0235023300819495
"Inferior.fronto-occipital.fasciculus.L",0.0194350411519531
"Medial.lemniscus.L",0.0154028285706675
"Corticospinal.tract.R",0.0138571636207524
"Posterior.corona.radiata.L",0.0120475989351086
"Corticospinal.tract.L",0.0108446707068637
"Fornix.(column.and.body.of.fornix)",0.0106877145968879
"Inferior.cerebellar.peduncle.L",0.00876509439695333
"Posterior.corona.radiata.R",0.00751300932026483
"Retrolenticular.part.of.internal.capsule.L",0.00555773186298167
"Tapetum.L",0.00530099246585014
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.00380634921575299
"Cingulum.(cingulate.gyrus).L",0.00365766961299454
"Cerebral.peduncle.R",0.00124009249436393
