"Feature","Gain"
"Corticospinal.tract.R",0.139244002614519
"Anterior.limb.of.internal.capsule.R",0.118339432366553
"Uncinate.fasciculus.R",0.0960470497467741
"Cingulum.(hippocampus).R",0.0855897720500509
"Genu.of.corpus.callosum",0.0726100850209965
"Pontine.crossing.tract.(a.part.of.MCP)",0.0579906432659875
"Medial.lemniscus.R",0.0533363952394336
"Inferior.cerebellar.peduncle.R",0.0472045721620674
"External.capsule.R",0.0428587185472528
"Cerebral.peduncle.L",0.0362930541404488
"Posterior.corona.radiata.R",0.0333053063638057
"Retrolenticular.part.of.internal.capsule.L",0.030397022421106
"Uncinate.fasciculus.L",0.0260127171880034
"Inferior.fronto-occipital.fasciculus.L",0.0233467537191836
"Anterior.limb.of.internal.capsule.L",0.0108857402964147
"Body.of.corpus.callosum",0.0103822420589375
"Corticospinal.tract.L",0.009544224521735
"Fornix.(column.and.body.of.fornix)",0.00783719101051604
"Medial.lemniscus.L",0.00614594435632184
"Superior.cerebellar.peduncle.L",0.00465431809396348
"Middle.cerebellar.peduncle",0.00450478592792307
"Tapetum.L",0.00431118385874849
"Superior.cerebellar.peduncle.R",0.00383843321878953
"External.capsule.L",0.0031610362259377
"Posterior.limb.of.internal.capsule.L",0.00283959996549086
"Cerebral.peduncle.R",0.00236950253903645
"Splenium.of.corpus.callosum",0.00048619374065967
"Retrolenticular.part.of.internal.capsule.R",0.000228388170144659
