"Feature","Gain"
"Middle.cerebellar.peduncle",0.225218833764413
"External.capsule.R",0.141221387090843
"Medial.lemniscus.R",0.0913249631717929
"Anterior.limb.of.internal.capsule.R",0.0660945315715703
"Cerebral.peduncle.L",0.0563835011950564
"Uncinate.fasciculus.R",0.0536010841290678
"Posterior.limb.of.internal.capsule.L",0.0364068405620808
"Genu.of.corpus.callosum",0.0337621061021357
"Corticospinal.tract.R",0.0290806903254429
"Pontine.crossing.tract.(a.part.of.MCP)",0.0262599297209355
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).L",0.0259696857321342
"Anterior.limb.of.internal.capsule.L",0.0214886186858247
"Body.of.corpus.callosum",0.0206477602380722
"Uncinate.fasciculus.L",0.0143062110840676
"Superior.longitudinal.fasciculus.R",0.0123541577587906
"Posterior.corona.radiata.L",0.012040711060932
"Posterior.corona.radiata.R",0.01189940590226
"Inferior.fronto-occipital.fasciculus.L",0.0105989539029632
"Corticospinal.tract.L",0.00991447984679308
"Medial.lemniscus.L",0.00980654677535712
"Inferior.fronto-occipital.fasciculus.R",0.00402310837807354
"Tapetum.L",0.00377854764702362
"Retrolenticular.part.of.internal.capsule.L",0.00249545920937708
"Retrolenticular.part.of.internal.capsule.R",0.00159511507366005
"Posterior.thalamic.radiation.(include.optic.radiation).R",0.00102150115708138
"Superior.fronto-occipital.fasciculus.(could.be.a.part.of.anterior.internal.capsule).R",0.000649654416104281
"Sagittal.stratum.(include.inferior.longitidinal.fasciculus.and.inferior.fronto-occipital.fasciculus).L",0.000125378995598092
"Tapetum.R",2.66469441163863e-05
