"Feature","Gain"
"Superior.cerebellar.peduncle.L",0.13965417403914
"Anterior.limb.of.internal.capsule.L",0.128400640555795
"Inferior.fronto-occipital.fasciculus.R",0.126413401625876
"Superior.corona.radiata.L",0.122135083480922
"Fornix.(column.and.body.of.fornix)",0.0572582597345746
"Pontine.crossing.tract.(a.part.of.MCP)",0.0549224699421069
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).R",0.0529381739239942
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).L",0.0175101134651146
"Posterior.limb.of.internal.capsule.R",0.0134759401455343
"Uncinate.fasciculus.L",0.00494782928084245
