"Feature","Gain"
"Fornix.(column.and.body.of.fornix)",0.16426627676423
"Inferior.cerebellar.peduncle.R",0.163673784149489
"Medial.lemniscus.L",0.066254857196998
"Medial.lemniscus.R",0.051116066064636
"External.capsule.L",0.0388738019520142
"Cingulum.(hippocampus).L",0.0380384317650866
"Anterior.limb.of.internal.capsule.L",0.0317213133012896
"Uncinate.fasciculus.L",0.0293468512389531
"Cerebral.peduncle.L",0.0197146089674294
"Inferior.cerebellar.peduncle.L",0.0169735109937762
"Fornix.(cres)./.Stria.terminalis.(can.not.be.resolved.with.current.resolution).R",0.0109723584160453
"Superior.cerebellar.peduncle.L",0.0100316850405874
"Posterior.thalamic.radiation.(include.optic.radiation).L",0.00395628791337263
"Pontine.crossing.tract.(a.part.of.MCP)",0.00207651650145076
